latitude|longitude
4.9257542|114.8871242
2.936699|101.7119172
29.3094016|-94.7958623
35.16708411|136.9041381
52.4293965|16.8932826
39.33475|29.251093
30.0410521|31.2625444
13.6290179|102.610794
35.667373|139.6957641
1.3140995|103.8907884
16.7143158|98.4948883
1.514765|103.645121
14.541108|120.997163
1.5535095|103.7124159
22.7228522|120.3123713
2.2332084|103.190404
16.0507488|48.9804746
35.667741|139.696662
25.0463601|55.2319019
4.2579953|103.4339677
29.3351408|48.0575741
30.0465063|31.3734313
10.6274832|103.507433
35.6964871|140.7364019
10.66869|-14.604417
5.6414241|100.4996113
31.2026711|130.6288767
24.0054362|120.3779578
10.629251|103.526006
24.7234566|121.1270889
2.5094196|102.1264444
3.0499861|101.4456733
1.3242147|109.9541882
3.1871145|101.7397487
31.955666|131.178683
43.06973|142.941983
25.0186464|121.1591698
3.1673316|101.7043128
30.046783|31.3704401
30.0502371|31.2651124
4.9812126|114.9526139
11.06674|106.162211
30.0504268|31.3620063
3.1806476|101.5343276
1.492286|103.715068
37.5399941|126.9696439
13.6640328|102.5608139
34.7448675|137.3548976
22.4261605|113.9873242
27.1977068|60.4796223
37.496886|126.845343
45.86056171|14.26471506
25.2893166|55.3248642
34.09057|133.6562033
30.045361|31.3603897
2.4157923|102.6713265
25.1351663|121.463345
3.1884554|101.5910198
1.342044|103.74661
3.1326062|101.7883553
3.0649728|101.4807017
30.0439332|31.372809
2.2238548|102.333278
26.4035128|43.9298182
1.3087077|103.90554
21.434193|39.8394011
45.87100806|1.173715676
42.22524483|-8.717643909
-35.0175313|138.5554699
21.553373|39.2204215
21.7225341|-78.97858599
2.7832489|102.5198157
24.6390568|46.7340509
19.3599807|-99.1471719
3.0058168|101.788699
-6.939019938|23.49856731
1.548514|30.223716
1.4703489|103.7566141
3.1860359|101.4010935
21.5453012|39.235061
12.36947984|-69.15213138
77.86698513|-71.57180786
1.4699142|103.7554603
1.470839|103.756051
50.07791823|12.37089146
3.0975101|101.5547376
1.4699026|103.7558046
1.469905|103.755689
30.0621931|31.3284882
35.1479479|129.0614576
40.06019736|-95.60204885
56.9057428|60.8181829
37.0638791|138.8779728
21.5494006|39.1441247
25.1512456|75.8405282
19.3599807|-99.1471719
34.683588|135.050095
3.2088683|101.7052336
-2.6089847|140.9961705
19.3599807|-99.1471719
13.6570289|102.5651608
37.4046633|126.6974207
30.0411392|31.2603402
21.4491277|39.8458551
42.90526201|11.30621375
3.0190444|101.5852628
21.543269|39.161855
10.6095518|103.517127
3.0703996|101.4005492
21.502735|39.186484
1.469929|103.755408
21.5184568|39.2613352
21.5432105|39.1617112
3.0546002|101.4912849
15.5381771|32.5653781
25.3122181|55.8846412
21.6291701|39.1662773
2.7484664|101.9707355
24.9911826|121.5399445
21.5431366|39.1615647
3.111435|101.668812
35.305609|137.031293
4.8878791|114.9440919
2.2403986|102.2724967
30.0512626|31.2646634
25.8934612|51.5497432
21.418244|39.825044
3.1660877|101.7019156
13.6737|102.558372
26.7115648|127.8092783
18.4507374|-66.0643136
21.5572934|39.227521
24.9786955|121.5681419
38.5349745|141.0705683
30.0454557|31.3626782
-25.9867252|28.1215275
21.5432138|39.1618794
1.4700439|103.7557988
21.543081|39.1616574
21.468978|39.7998569
15.536511|32.5657316
3.113624|101.663873
2.9420537|101.6110995
2.9463423|101.5470079
34.7058071|33.114003
43.06057281|142.8544557
21.5027695|39.1865453
1.469879|103.75569
3.2174209|101.7376827
24.6385855|46.7347488
21.374538|39.787273
30.04484167|31.36155
18.1366377|42.6652821
26.4089493|43.9299035
19.0990719|72.8642866
56.0462924|92.9693193
5.311094|100.295341
15.534396|32.56683
24.970943|121.19505
30.046803|31.265536
30.0447285|31.2618313
15.5374699|32.5679391
10.6327654|103.5196121
2.503792|102.8224245
24.9677681|121.1924048
48.830051|2.281657
-23.7186348|-46.6282423
3.112350885|101.8198707
14.5583972|121.0194048
35.4695276|129.3369986
22.3771373|114.1118171
21.5440864|39.1844002
21.6077273|39.2118414
1.351838|103.7196511
21.543262|39.161651
3.164036|101.700801
25.064397|121.625701
35.702425|139.700632
3.1647476|101.6983836
1.470502|103.755917
3.0457016|101.6611155
24.2517188|120.8426287
50.5922783|27.6209595
14.5753033|121.0022521
25.2401081|55.2983709
-11.5485998|-75.9392174
4.8942906|114.8378486
1.3202066|103.8515167
25.2491909|55.4120362
1.484070135|103.890993
62.19253219|99.09189664
25.3461032|51.4355166
4.1774875|114.3365573
1.545813|103.626305
1.3443011|103.9512035
25.1472335|55.2893287
21.5430699|39.1615738
4.4956287|101.3897533
38.93040231|35.41290483
-3.7701631|-38.6286773
30.0398535|31.2620527
30.039512|31.2617068
26.1469612|127.6645029
3.110793|101.663745
21.4010968|39.8143674
30.0468284|31.3636439
21.543235|39.203574
34.69041228|135.1952235
1.469863|103.755608
-33.924813|151.0752701
23.8472036|53.6346498
-2.6090748|140.9954099
3.1048226|101.6346727
19.3599807|-99.1471719
1.3513951|104.2230622
19.3599807|-99.1471719
24.4606509|39.603816
1.4584854|103.7652178
44.74477154|9.414690574
5.2822297|100.2733547
4.8685204|114.811079
3.0439599|101.603038
11.5519937|104.940072
17.3432881|78.4986051
16.05025|48.97053
19.3599807|-99.1471719
21.5475112|39.145181
13.65889|102.552442
2.9153994|101.8800085
29.302071|47.898847
1.4699304|103.7557732
24.3276169|54.5374319
23.54146708|45.51547804
14.552473|121.053743
-5.8940514|-35.7677699
21.4085153|39.2457125
1.469833|103.755647
35.66793486|139.7176844
-33.83369991|151.143449
24.3454122|120.6194501
36.7918158|10.1676473
24.4344154|54.4319673
15.5240942|32.5766883
3.1721879|101.6496953
14.5583818|121.0193866
11.5925798|104.8970834
25.2134371|55.280937
